MKT_RF,SMB,HML,RF,date
0.0173,0.0151,0.0034999999999999996,0.0003,194505
0.0039000000000000003,0.031,0.0432,0.0002,194506
-0.0217,-0.0146,-0.0271,0.0003,194507
0.062,0.0161,-0.044000000000000004,0.0003,194508
0.04769999999999999,0.0171,0.0048,0.0003,194509
0.038900000000000004,0.0246,0.0225,0.0003,194510
0.053899999999999997,0.0416,0.0434,0.0002,194511
0.012,0.0212,-0.0232,0.0003,194512
0.062400000000000004,0.04019999999999999,0.022099999999999998,0.0003,194601
-0.0583,-0.0073,-0.0127,0.0003,194602
0.0587,0.0031,-0.0036,0.0003,194603
0.042300000000000004,0.023700000000000002,0.0045000000000000005,0.0003,194604
0.0393,0.0146,0.0109,0.0003,194605
-0.038900000000000004,-0.015300000000000001,-0.0059,0.0003,194606
-0.0269,-0.0206,0.0004,0.0003,194607
-0.0644,-0.0178,0.006,0.0003,194608
-0.1017,-0.0441,-0.0196,0.0003,194609
-0.0144,0.0009,0.0344,0.0003,194610
-0.0001,-0.004,0.0152,0.0003,194611
0.0496,0.0006,-0.0138,0.0003,194612
0.0125,0.0218,-0.0073,0.0003,194701
-0.0108,0.0068000000000000005,0.0014000000000000002,0.0003,194702
-0.0167,-0.0161,0.0060999999999999995,0.0003,194703
-0.048,-0.0397,0.0085,0.0003,194704
-0.0097,-0.0326,0.0034000000000000002,0.0003,194705
0.0529,-0.0031,-0.006,0.0003,194706
0.0414,0.0143,0.0282,0.0003,194707
-0.0174,0.003,0.0016,0.0003,194708
-0.0054,0.016399999999999998,0.013600000000000001,0.0006,194709
0.024700000000000003,0.0051,0.0008,0.0006,194710
-0.0197,-0.0174,0.0106,0.0006,194711
0.03,-0.0248,0.0369,0.0008,194712
-0.0393,0.024900000000000002,0.0138,0.0007000000000000001,194801
-0.0438,-0.0171,0.0007000000000000001,0.0007000000000000001,194802
0.08070000000000001,0.0013,0.0449,0.0009,194803
0.0365,-0.0166,0.040999999999999995,0.0008,194804
0.073,0.009300000000000001,-0.0123,0.0008,194805
-0.001,-0.018600000000000002,0.0275,0.0009,194806
-0.0509,-0.0032,0.0007000000000000001,0.0008,194807
0.0025,-0.011000000000000001,0.0027,0.0009,194808
-0.0297,-0.0123,-0.0179,0.0004,194809
0.0596,-0.015,0.005600000000000001,0.0004,194810
-0.09300000000000001,-0.0062,-0.0414,0.0004,194811
0.0326,-0.027999999999999997,-0.0194,0.0004,194812
0.0023,0.0181,0.011699999999999999,0.001,194901
-0.029300000000000003,-0.0189,-0.0091,0.0009,194902
0.0404,0.0248,0.0134,0.001,194903
-0.0187,-0.0089,-0.0118,0.0009,194904
-0.0294,-0.0077,-0.0242,0.001,194905
0.001,-0.0088,-0.0176,0.001,194906
0.0554,0.005699999999999999,0.0038,0.0009,194907
0.026000000000000002,0.0013,-0.005699999999999999,0.0009,194908
0.030899999999999997,0.0105,0.0023,0.0009,194909
0.031400000000000004,0.0103,-0.0049,0.0009,194910
0.0182,-0.009300000000000001,-0.0091,0.0008,194911
0.0513,0.0207,0.0175,0.0009,194912
0.017,0.0336,0.0014000000000000002,0.0009,195001
0.0148,0.0004,-0.008100000000000001,0.0009,195002
0.0126,-0.0141,-0.0277,0.001,195003
0.0394,0.0199,0.0134,0.0009,195004
0.0431,-0.0212,0.0046,0.001,195005
-0.0594,-0.023799999999999998,-0.0078000000000000005,0.001,195006
0.013600000000000001,0.0051,0.1366,0.001,195007
0.048499999999999995,0.0073,-0.0141,0.001,195008
0.0481,0.005699999999999999,-0.0111,0.001,195009
-0.0018,-0.0058,0.0144,0.0012,195010
0.0276,-0.0084,0.0317,0.0011,195011
0.0554,0.0149,0.0723,0.0011,195012
0.057,0.0173,0.037200000000000004,0.0013,195101
0.0141,0.0009,-0.028300000000000002,0.001,195102
-0.0215,-0.0064,-0.042199999999999994,0.0011,195103
0.048600000000000004,-0.0149,0.032799999999999996,0.0013,195104
-0.023399999999999997,-0.0001,-0.013300000000000001,0.0012,195105
-0.0262,-0.0195,-0.039599999999999996,0.0012,195106
0.0694,-0.0192,0.0191,0.0013,195107
0.042699999999999995,0.0084,0.0025,0.0013,195108
0.006999999999999999,0.018799999999999997,0.0064,0.0012,195109
-0.0253,-0.0028000000000000004,0.0024,0.0016,195110
0.005699999999999999,-0.0044,0.0026,0.0011,195111
0.0333,-0.0206,-0.019299999999999998,0.0012,195112
0.014499999999999999,-0.0076,0.0182,0.0015,195201
-0.0262,0.0067,-0.0022,0.0012,195202
0.0444,-0.0302,0.022099999999999998,0.0011,195203
-0.049699999999999994,0.0038,0.0025,0.0012,195204
0.032,-0.0106,0.002,0.0013,195205
0.0383,-0.016,0.0118,0.0015,195206
0.0091,-0.0034999999999999996,-0.004,0.0015,195207
